Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1879,25,24,18,87,32,23,36,37,29,41,31,43
211,36870,76.93,43.23,847,1880,34,20,67,61,145,20,29,49,4,25,24,32
211,36870,76.93,43.23,847,1881,14,51,50,102,62,89,40,28,73,47,110,21
211,36870,76.93,43.23,847,1882,68,34,33,154,126,77,24,28,33,123,12,16
211,36870,76.93,43.23,847,1883,30,4,37,58,37,89,29,4,20,30,12,37
211,36870,76.93,43.23,847,1884,46,46,48,51,150,29,22,0,41,16,16,17
211,36870,76.93,43.23,847,1885,10,7,34,57,5,100,30,6,19,45,79,48
211,36870,76.93,43.23,847,1886,83.9,18,109,123,208,120,43,26.1,42.3,74,60,46
211,36870,76.93,43.23,847,1887,25,20,48,102,82,58,68,53,20,26,52,47
,,,,,,,,,,,,,,,,,
211,36870,76.93,43.23,847,1889,15,17,81,139,89,75,57,8,0,62,48,52
211,36870,76.93,43.23,847,1890,42,33,21,105,82,38,14,67,48,45,57,5
211,36870,76.93,43.23,847,1891,33.8,25.1,23,114,112,38.9,30.7,30.3,28.9,39.7,74.9,49.1
211,36870,76.93,43.23,847,1892,44.7,61.7,74.5,108.5,114.7,32.8,18.9,29.2,38.1,50,8.2,5.3
211,36870,76.93,43.23,847,1893,36.1,5.2,60.8,163.2,43.1,23.9,2.3,11.5,0,79.4,29.4,89.2
211,36870,76.93,43.23,847,1894,18.9,10.6,62,120.5,37.6,61.7,13.6,5.3,0,44.1,52.6,26.4
211,36870,76.93,43.23,847,1895,5.2,32.5,72.6,141.8,146,38.9,17.8,70.9,27.8,48,37.6,56.6
211,36870,76.93,43.23,847,1896,83.9,14.7,43.5,195.6,89,102.9,107.1,58.4,42.3,10.3,22.3,38.7
211,36870,76.93,43.23,847,1897,12.6,15.8,42.2,101,67.9,52.8,39,13.5,55.6,47,88.4,28.3
211,36870,76.93,43.23,847,1898,59.6,30.4,94.9,104.8,98.2,156.9,59,43.7,11.4,35.8,73.4,14.6
211,36870,76.93,43.23,847,1899,10.6,35.4,70.8,131.6,43.1,35,16.7,16.7,16.5,21.5,40.1,49.1
211,36870,76.93,43.23,847,1900,33,28.7,81.3,90.8,59.7,89.5,26.1,69.9,18.6,47,57,8.4
211,36870,76.93,43.23,847,1901,33.8,1.1,138.8,102,168,66.7,30.7,16.7,41.2,142,67.2,35.8
211,36870,76.93,43.23,847,1902,62.7,39.8,65.1,97.3,142.3,61.7,85,17.8,56.5,61.2,106.3,46.2
211,36870,76.93,43.23,847,1903,21.2,53.3,26.1,31.5,127.6,92.9,63.2,10.5,45.4,26.4,36.7,16.9
211,36870,,,,,,,,,,,,,,,,
211,36870,76.93,43.23,847,1905,63.6,6.1,23,128.9,140.5,90.6,63.2,49.9,16.5,13.3,48.4,31.6
211,36870,76.93,43.23,847,1906,23.5,16.7,66.9,84.4,120.3,31.7,35.9,67.7,16.5,36.7,45.4,42
211,36870,76.93,43.23,847,1907,67.9,3.2,57.7,163.2,117.5,89,20.1,18.7,41.2,83.2,50.2,48.2
211,36870,76.93,43.23,847,1908,45.6,36.6,45.3,91.8,134,73.4,14.8,55.2,38.1,88.6,75.8,29.4
211,36870,76.93,43.23,847,1909,19.2,20.8,42.2,59.3,62.4,59.5,49.6,1,39.2,55.8,5.3,9.5
211,36870,76.93,43.23,847,1910,31,24,70.8,59.3,22,47.3,21.9,2,3.1,31.8,13.5,4.2
211,36870,76.93,43.23,847,1911,45.6,55.3,94.9,84.4,88.1,42.2,54.8,43.7,41.2,81.3,48.4,15.7
211,36870,76.93,43.23,847,1921,44.7,64.7,69.4,138.1,100.1,61.7,63.2,59.4,26,95,35.8,37.8
211,36870,76.93,43.23,847,1922,14.9,40.7,48.4,76,82.6,43.4,77.9,33.5,0,50,17.9,28.3
211,36870,76.93,43.23,847,1923,8.6,37.7,129,102,99.1,41.1,74.5,4.3,49.5,69.6,54.6,17.9
211,36870,76.93,43.23,847,1924,25.5,40.7,51.5,130.7,92.7,47.4,30.7,9.5,42.3,53.9,36.7,22.1
211,36870,76.93,43.23,847,1925,26.6,2,81.9,83.4,71.6,32.2,17.8,7.3,0,34.8,55.5,50.5
211,36870,76.93,43.23,847,1926,25.5,51.2,41.6,73.2,47.7,45.6,83.2,13.5,19.5,35.8,55.5,23.1
211,36870,76.93,43.23,847,1927,28.7,17.8,45.3,17.6,80.8,3.3,7.6,32.2,37.1,66.1,80.2,36.8
211,36870,76.93,43.23,847,1928,37.2,19.9,46.6,135.3,139.5,66.7,64.3,49,64.9,51.9,50.2,29.4
211,36870,76.93,43.23,847,1929,25.5,13.4,32.9,66.7,117.5,48.4,46.2,23,23.7,27.4,35.8,21.1
211,36870,76.93,43.23,847,1930,9.5,40.7,12.5,126.1,112,44.5,8.4,51,8.3,61.2,25.2,42
211,36870,76.93,43.23,847,1931,31.8,7.3,33.5,94.6,125.8,77.2,21.9,17.8,1.1,22.5,45.4,29.4
211,36870,76.93,43.23,847,1932,28.7,23.1,19.9,82.5,101,37.3,27.3,3,26.8,91.6,59,18.8
211,36870,76.93,43.23,847,1933,13.7,29.2,37.9,42.6,49.6,75.6,28.3,6.2,13.4,29.4,27.6,47.2
211,36870,76.93,43.23,847,1934,7.5,69.9,74.5,134.4,131.3,60.6,81,46,67.9,40.7,9.7,49.1
211,36870,76.93,43.23,847,1935,8.6,12.6,93,52.8,42.2,73.4,51.4,4.3,47.3,51.9,59,64.2
211,36870,76.93,43.23,847,1936,11,37.5,48,91.7,57.1,20.1,50.8,44.4,28.6,36.5,41.7,10.7
211,36870,,,,,,,,,,,,,,,,
211,36870,,,,,,,,,,,,,,,,
211,36870,76.93,43.23,847,1939,29.8,29.9,44.8,132.8,93.6,4,39.7,5.5,29.8,50,96.5,28.2
