Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1879,-9.8,-6.1,4.5,12.4,18.8,24.3,24.6,21.2,14.5,7.5,-1.5,-4.1
211,36870,76.93,43.23,847,1880,-10.2,-10.9,2,7,15.8,21.3,22.3,20.1,14,10.6,1.5,-6.7
211,36870,76.93,43.23,847,1881,-4.8,6,1.1,13.8,16.3,18.6,22.7,21.1,14.9,6.4,-2,-11.4
211,36870,76.93,43.23,847,1882,-8.4,-8.9,-2.1,9.7,16.2,20,21.5,20.4,15.3,3.2,-1.1,-7.7
211,36870,76.93,43.23,847,1883,-10.7,-14,2.8,7.9,16.3,21.3,21.8,21.6,14.3,6.7,-3.4,-6
211,36870,76.93,43.23,847,1884,-6.6,-7,-2.6,12,15.5,20,22.6,20,14.9,6.6,-3.9,-5.1
211,36870,76.93,43.23,847,1885,-10.5,-11.8,1.5,11.3,16.8,22.3,22.4,23.2,16.6,8.4,0.5,-4.2
211,36870,76.93,43.23,847,1886,-999,-13.7,1.3,8.2,13.6,19.3,22.5,-999,-999,6.5,-2.7,-6.7
211,36870,76.93,43.23,847,1887,-13.2,-7.5,0.7,13.5,12.5,19.1,22.2,19.6,14.9,10.8,2.3,-4.9
,,,,,,,,,,,,,,,,,
211,36870,76.93,43.23,847,1889,-11.9,-5.3,2.2,11.3,12.2,21.7,22,21.1,14.2,5.1,-3.9,-11.5
211,36870,76.93,43.23,847,1890,-7.9,-10,-6.7,9,15,19.5,23,19.8,14.4,8.2,1.9,-4.4
211,36870,76.93,43.23,847,1891,-12.6,-12.2,-1.9,7.7,15.4,19.4,21.5,21.7,15.7,6.6,-1.1,-3.3
211,36870,76.93,43.23,847,1892,-5.6,-5.7,-6.2,9.7,16.8,19.8,22.7,21.8,15.7,8.2,-3.5,-2.8
211,36870,76.93,43.23,847,1893,-13.1,-9.9,3.8,12.2,15.8,22.8,23.8,22.6,18.5,7.8,0.8,-2.4
211,36870,76.93,43.23,847,1894,-11.4,-3.3,3.2,7.3,14.9,22.2,24,20.8,16,5.7,-1.7,-9.9
211,36870,76.93,43.23,847,1895,-11.8,-5.4,4.6,11.7,15.7,19.2,23,19.3,16.5,5.1,-1,-9
211,36870,76.93,43.23,847,1896,-3,-6,1.3,8.3,17.5,20.1,22.2,19.6,13.3,6.8,0.4,-9.2
211,36870,76.93,43.23,847,1897,-11.9,-7.5,-4.1,8.1,14,19.2,23.1,20.2,15.7,7,1.3,-6.2
211,36870,76.93,43.23,847,1898,-8.1,-11.8,-5,7.6,14.1,18.4,20.7,19.1,13.4,8.7,-2.9,-5.1
211,36870,76.93,43.23,847,1899,-6.9,-3.9,2.3,9.9,16.5,20.4,20.9,21.9,15.1,8.6,-0.3,-7.8
211,36870,76.93,43.23,847,1900,-15.9,-14.5,0.2,9,18.3,19.9,23.4,20.5,15.3,8.9,2.5,-2.7
211,36870,76.93,43.23,847,1901,-10.6,-10.7,2.8,9.7,14.1,17.4,21.4,20.5,15.3,3.4,2.6,-3.9
211,36870,76.93,43.23,847,1902,-4.9,-4.7,1.2,9.5,16,20.4,20.6,21.1,15.3,8.3,0,-2.6
211,36870,76.93,43.23,847,1903,-8.3,-4,-5.1,6.3,14.5,17.4,21.3,20.1,16.2,8.1,-3.1,-7.8
211,36870,76.93,43.23,847,1904,-11.2,-2.6,1,6.8,17.9,20.2,20.8,20.6,14.3,4.5,1.8,-1.6
211,36870,76.93,43.23,847,1905,-8.3,-11,-7.8,5.8,15.3,19,21.8,20.5,15.2,9.3,3.2,-5.7
211,36870,76.93,43.23,847,1906,-10.4,-9.2,0.9,8.1,14.5,21.5,21.7,20.8,15.3,7.7,-1.2,-4.4
211,36870,76.93,43.23,847,1907,-6.6,-8.2,-1.1,9.9,15.3,17.6,20.8,20.2,14.7,5.7,-2.1,-5
211,36870,76.93,43.23,847,1908,-6.6,9.7,-2.9,8.8,16.3,18.9,23.5,21.4,15.2,4.6,0.2,-4.7
211,36870,76.93,43.23,847,1909,-11.8,-4,-1.5,14.5,17.4,19.2,22.2,22.2,14.4,6,5.5,-4.6
211,36870,76.93,43.23,847,1910,-4.2,-6.6,0.2,9.7,17.3,20,23.5,21.1,14.4,6.8,-3.1,-8.7
211,36870,76.93,43.23,847,1911,-7.3,-3.3,2.4,12.4,16.2,21.3,21.2,19.9,16,5,0.4,-8.2
211,36870,76.93,43.23,847,1912,-7.8,-2.7,-0.4,14.3,16.1,20.4,21.4,18.8,14,10.2,0.4,-5.5
211,36870,76.93,43.23,847,1913,-5.6,-4.7,0.3,6.7,17.4,20.1,23.8,19.8,15.8,8.9,-0.4,-2.1
211,36870,76.93,43.23,847,1914,-1.9,-3.3,1.5,11.1,14.9,21.7,22.5,22.2,16.7,7.5,1,-5.1
211,36870,76.93,43.23,847,1915,-999,-999,-999,-999,17.6,22.4,23.3,23.8,19.9,8.9,3.4,-0.3
211,36870,76.93,43.23,847,1916,-4.8,-8.7,1.9,12.4,17.5,19.2,23.5,24.4,17.9,9.4,-4.9,-5.1
211,36870,76.93,43.23,847,1917,-3.5,-1,0.2,8.3,21.2,20.2,24.1,23.5,16.7,8.6,2.4,-7
211,36870,76.93,43.23,847,1918,-6,-5.7,1,-999,-999,20.3,22.7,23.4,-999,-999,-999,-999
211,36870,76.93,43.23,847,1919,-999,-3.8,0.9,12.5,17.1,-999,-999,22.8,14.4,11.6,2.9,-3.8
211,36870,76.93,43.23,847,1920,-999,-11.6,-1.1,9.2,15.3,21.3,22.5,21.5,16,9,-1,-11.9
211,36870,76.93,43.23,847,1921,-6.2,-4.3,-0.5,10,13,18.5,22.2,20.9,16.3,9.9,1.2,-3
211,36870,76.93,43.23,847,1922,-6.4,-4.7,3.7,11.3,16.9,20.5,22.3,21.3,17.5,10.8,2.7,-2
211,36870,76.93,43.23,847,1923,-9.6,-5,1.8,10.4,15.5,20.8,21.5,25.6,14.8,10.1,2.9,-5.8
211,36870,76.93,43.23,847,1924,-5.3,-3.7,0,11.5,13.6,18.4,24.3,23.4,17.1,9.8,1.4,-3.1
211,36870,76.93,43.23,847,1925,-6,-8.7,4.5,9.6,16.5,20.7,23.9,23.3,18.9,11.6,1.7,2
211,36870,76.93,43.23,847,1926,-4.9,-3.4,5.5,9.3,16.1,20.7,22.4,23,17.3,9.7,-1.1,-5.1
211,36870,76.93,43.23,847,1927,-8.1,-6.5,-0.8,13,16.3,21.4,25.4,23.4,17.2,12.7,1.4,-3.2
211,36870,76.93,43.23,847,1928,-7.6,-2.8,-0.3,10,17.7,21.5,22.2,21.2,15,9.7,1.7,-9.3
211,36870,76.93,43.23,847,1929,-12,-5.9,3.4,15.1,14.5,20.2,23,21,18.1,6.6,0.6,-12.8
211,36870,76.93,43.23,847,1930,-11.2,-5.9,3.6,8.6,16.9,21.5,24.6,21.6,15.5,8.2,4,-8.1
211,36870,76.93,43.23,847,1931,-9.5,-16.8,1.9,9.8,14.2,20.1,21.9,22.9,20.3,11.4,0,-4.8
211,36870,76.93,43.23,847,1932,-4.7,-3.2,5,13.3,16.3,20.8,25.2,20,16.8,8.4,0.1,-8.8
